ber,ber_th,snr,snr_measured,distance,distance_th,duration,state,pt,energy,N,ber_diff,distance_diff
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21236.34278222508,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21233.813541341882,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21231.284300458683,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21228.755059575484,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21226.225818692285,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21223.696577809085,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21221.167336925886,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21218.638096042687,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21216.108855159488,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21213.57961427629,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21211.05037339309,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21208.52113250989,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21205.99189162669,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21203.46265074349,1,-1.6219899624731182e-14,1.2814317478996728
