#{"t_start": 1671536172.329341, "env_id": null}
r,l,t
-1216.244581,200,225.944645
1420.149123,200,226.303656
1449.411336,200,226.663579
1430.810155,200,227.021839
-1073.268029,200,227.381182
1436.84724,200,227.742173
1457.643939,200,228.103562
1459.559199,200,229.085552
1431.234314,200,229.439687
1439.869247,200,229.79734
1389.916614,200,230.143985
1504.631732,200,230.504244
-936.725013,200,230.863078
1408.30794,200,231.210779
-1007.711416,200,231.568986
-1081.702432,200,231.92649
-1030.900849,200,232.283309
1380.307815,200,232.627396
1453.640464,200,233.586625
1351.46991,200,233.93825
1443.774321,200,234.301698
1462.720849,200,234.658764
1480.980263,200,235.018227
1455.121399,200,235.37271
1462.255815,200,235.731845
-1120.187096,200,236.089151
1447.038339,200,236.448565
1412.316968,200,236.800963
1454.886746,200,237.77528
1444.914447,200,238.136303
-1010.924957,200,238.492718
1436.196738,200,238.852296
-1108.537225,200,239.209105
1424.194478,200,239.566564
1430.513703,200,239.919044
1453.047245,200,240.276561
1413.460478,200,240.637607
1441.548291,200,241.000111
1384.89694,200,241.962691
-787.085483,200,242.314757
1392.370308,200,242.672657
1404.605174,200,243.034572
1439.388112,200,243.39565
1433.588309,200,243.752914
1415.816413,200,244.103876
1433.24229,200,244.466508
1428.606447,200,244.824399
1486.309837,200,245.187307
1443.525329,200,246.155981
-989.67076,200,246.511567
1370.844644,200,246.868738
-1056.507832,200,247.227708
-941.873058,200,247.588609
1387.739428,200,247.937315
1398.605379,200,248.297213
1391.943482,200,248.657819
1393.096194,200,249.014568
-923.987233,200,249.370083
-934.019181,200,249.730296
1434.539553,200,250.711835
1434.703165,200,251.06071
1382.921294,200,251.418245
1437.238592,200,251.777729
1342.955661,200,252.126419
1317.822047,200,252.485764
-965.761802,200,252.866028
1438.017584,200,253.238033
1387.511461,200,253.601063
1433.268556,200,253.960548
-978.94471,200,255.223173
1443.384862,200,255.579604
1367.974572,200,255.937107
-1106.939348,200,256.295188
1417.674892,200,256.640737
1457.554536,200,256.999366
1440.626636,200,257.355779
1458.360952,200,257.711096
-1140.095794,200,258.075419
1469.988692,200,258.431815
1497.093767,200,259.626344
1450.437458,200,259.982392
1465.047937,200,260.331383
1441.804973,200,260.690943
1457.372082,200,261.03994
1425.521766,200,261.400975
1436.298801,200,261.810882
1453.065573,200,262.169919
1433.200705,200,262.522978
1449.56233,200,262.882018
1456.215452,200,264.367045
1445.131912,200,264.810858
1466.198133,200,265.206414
1434.403271,200,265.568618
-1056.058931,200,265.921259
1444.542657,200,266.274313
1454.076805,200,266.622384
-1207.122334,200,266.976528
1458.361963,200,267.33055
1453.147922,200,267.685799
-1090.671978,200,268.054722
1462.205024,200,269.716279
1463.536068,200,270.141145
1366.554659,200,270.577975
1427.824855,200,271.094594
-1114.8683,200,271.534421
-1088.323127,200,271.931357
1403.196232,200,272.337271
-1201.646934,200,272.719399
1418.984262,200,273.094348
1425.990226,200,273.502257
1403.989363,200,274.890545
1449.682276,200,275.253604
-1172.039034,200,275.606666
1465.913608,200,275.957728
1469.300358,200,276.303766
1514.138515,200,276.653863
1402.749843,200,277.008676
-1104.194664,200,277.357288
1444.31997,200,277.717911
1425.778579,200,278.067052
1441.943992,200,279.124213
1422.738753,200,279.476702
1451.041161,200,279.824771
-962.325988,200,280.187438
1428.372789,200,280.533546
1447.602875,200,280.887601
1433.391234,200,281.230649
1429.653756,200,281.579717
1446.877745,200,281.927787
1425.531965,200,282.28897
1374.237655,200,283.526463
1412.690445,200,283.877558
1455.220325,200,284.222603
-1029.632893,200,284.57795
1443.141389,200,284.935772
1409.926359,200,285.284192
1410.434391,200,285.637876
-1074.182747,200,285.997252
1452.229741,200,286.357906
1470.389459,200,286.713809
1449.273362,200,287.072682
1447.479385,200,288.066397
1405.177936,200,288.423976
1468.884023,200,288.782038
1477.230891,200,289.142487
-1133.008051,200,289.502488
1476.040059,200,289.861518
1459.147739,200,290.211462
1462.5717,200,290.579736
1433.463356,200,290.937994
1431.044288,200,291.290033
1471.281979,200,292.274757
1430.852885,200,292.63765
-1083.102531,200,292.996442
1434.145141,200,293.352886
1489.078091,200,293.710101
1478.667494,200,294.072288
1460.050902,200,294.442905
1476.677116,200,294.805936
1490.188626,200,295.170376
1450.754275,200,295.527089
1464.763841,200,296.553783
1459.796573,200,296.960871
-1091.254941,200,297.359867
1425.320223,200,297.723587
-1141.449026,200,298.08608
1472.743118,200,298.45744
-1238.521204,200,298.821762
1466.593589,200,299.177971
1444.885517,200,299.536423
1435.790713,200,299.893799
1385.855458,200,300.862151
1462.91691,200,301.219755
1458.975397,200,301.582543
1464.049524,200,301.940473
-1212.595861,200,302.329205
1458.940073,200,302.689929
1543.52267,200,303.044951
1500.255277,200,303.400633
1453.15328,200,303.761159
1438.113202,200,304.120252
1416.739906,200,304.476099
1435.337145,200,305.451093
1430.351549,200,305.808978
1450.037993,200,306.170169
1501.474739,200,306.529423
1460.391915,200,306.886973
1410.594379,200,307.245248
1432.78393,200,307.60563
1467.006659,200,307.969334
1451.010006,200,308.333605
1449.704102,200,308.691791
1443.491133,200,309.656949
1451.831207,200,310.017066
1455.930333,200,310.384796
1460.979971,200,310.736173
1457.728913,200,311.089908
1465.344377,200,311.450212
1475.22484,200,311.815149
-1236.107249,200,312.177189
-1118.299853,200,312.541734
-1115.992953,200,312.902981
1458.509625,200,313.880859
1459.883468,200,314.241935
1458.561716,200,314.60253
-1191.734056,200,314.976263
1456.597201,200,315.33433
1450.522934,200,315.694164
-1228.54221,200,316.055611
1553.368024,200,316.420482
1461.648061,200,316.788739
1444.982187,200,317.15025
1480.456645,200,318.13926
1462.803198,200,318.495844
-1304.121544,200,318.865864
1483.279528,200,319.228512
1517.315224,200,319.588582
1484.392609,200,319.949906
1575.932144,200,320.309949
-1211.460704,200,320.678059
1455.316948,200,321.042367
1521.37851,200,321.404233
1466.218602,200,321.769532
1461.209777,200,322.750467
-1300.538877,200,323.111106
-1133.708314,200,323.469467
-1180.285616,200,323.829369
-1203.875809,200,324.188753
1442.115067,200,324.558204
1518.253895,200,324.921964
-1175.005796,200,325.282284
1463.011289,200,325.64177
1443.883927,200,325.993457
1455.540766,200,326.978462
1493.9446,200,327.340345
-1088.856482,200,327.705442
-1153.473484,200,328.069409
1506.904636,200,328.432966
