#{"t_start": 1673606808.345397, "env_id": null}
r,l,t
1481.054168,100,42.833075
1502.609294,100,42.867341
1492.37506,100,42.904955
1522.421864,100,42.93916
1492.808502,100,42.978551
1471.96504,100,43.019879
1496.394656,100,43.058506
1469.14644,100,43.098784
1480.563247,100,43.135038
1479.438153,100,43.171825
1483.024307,100,43.212364
1519.453172,100,43.24597
1507.339586,100,43.283766
1514.72288,100,43.320899
1514.143853,100,43.358135
1498.010671,100,43.397166
1495.961214,100,43.434753
1498.156256,100,43.472448
1515.472011,100,43.506125
1532.18422,100,43.542447
1502.812359,100,43.57771
1499.772271,100,43.613888
1507.471255,100,43.656784
1490.251414,100,43.694122
1514.868465,100,43.731296
1505.031919,100,43.768389
1507.471255,100,43.802673
1463.757803,100,43.837049
1479.027517,100,43.874668
1499.061575,100,43.909089
1502.063228,100,43.945918
1496.935248,100,43.979529
1502.307521,100,44.016005
1508.785497,100,44.050439
1513.30993,100,44.093108
1488.596964,100,44.127934
1498.38384,100,44.54193
1499.640602,100,44.578466
1511.018974,100,44.61091
1534.549366,100,44.648584
1505.106109,100,44.679837
1516.352811,100,44.716389
1512.659507,100,44.749403
1514.794276,100,44.785405
1513.611703,100,44.819252
1505.106109,100,44.854303
1471.286683,100,44.88748
1511.562246,100,44.930656
1492.446456,100,44.966201
1508.522159,100,44.999245
1497.031163,100,45.041228
1506.288682,100,45.073399
1525.088782,100,45.110458
1504.239225,100,45.148659
1508.508242,100,45.184791
1510.439946,100,45.226812
1513.540307,100,45.267966
1508.653828,100,45.301514
1497.332936,100,45.340586
1476.97806,100,45.377142
1491.060818,100,45.412536
1506.590454,100,45.445938
1494.608537,100,45.479312
1502.233331,100,45.523471
1485.897084,100,45.559313
1504.898537,100,45.595402
1502.005748,100,45.63134
1495.340958,100,45.665049
1525.390555,100,45.701011
1518.270599,100,45.742099
1511.189077,100,45.778002
1501.426721,100,45.811771
1511.320746,100,45.850118
1526.850383,100,45.885075
1516.786253,100,45.923434
1514.289438,100,45.961022
1518.572372,100,45.997425
1516.654584,100,46.454359
1515.905453,100,46.491959
1521.239291,100,46.535795
1497.577229,100,46.572226
1503.791867,100,46.620229
1518.874145,100,46.652467
1500.78474,100,46.689649
1491.192487,100,46.725022
1505.709654,100,46.761824
1515.472011,100,46.795295
1505.912719,100,46.833716
1517.837157,100,46.871214
1522.120091,100,46.909155
1500.880655,100,46.942847
1468.205367,100,46.991307
1490.104115,100,47.029732
1494.476868,100,47.064653
1497.105352,100,47.117638
1503.923536,100,47.15052
1506.420351,100,47.189754
1518.717957,100,47.229164
1533.668566,100,47.262128
1504.936005,100,47.298413
1486.701982,100,47.334721
1498.156256,100,47.370783
